Job Title,Company Name,Location,Job Description,Salary Estimate,SQL,Python,Power_BI,Tableau,Excel
Business Analyst,Global Health Analytics,"Bengaluru, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$62K-$159K (Glassdoor est.),1,0,1,0,0
Junior Data Analyst,DataMetrics Inc,"Bengaluru, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$60K-$130K (Glassdoor est.),1,1,1,0,0
Data Scientist,RetailPulse Systems,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$64K-$174K (Glassdoor est.),0,0,0,0,0
Data Engineer,TechCorp Solutions,"Bengaluru, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$108K-$145K (Glassdoor est.),1,1,0,1,1
Data Engineer,RetailPulse Systems,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$64K-$172K (Glassdoor est.),1,1,1,0,0
Data Analyst,Global Health Analytics,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$78K-$173K (Glassdoor est.),1,1,1,0,0
Data Scientist,TechCorp Solutions,"Pune, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$51K-$184K (Glassdoor est.),1,1,0,1,1
Business Analyst,TechCorp Solutions,"Pune, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$95K-$168K (Glassdoor est.),1,1,0,1,1
Data Analyst,Fintech Innovations,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$73K-$160K (Glassdoor est.),1,1,1,0,0
Data Engineer,RetailPulse Systems,"Hyderabad, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$88K-$181K (Glassdoor est.),1,0,1,0,0
